日付,重症病床確保数,重症入院患者数,重症病床使用率
2020-04-23,127,58,45.7
2020-04-24,155,59,38.1
2020-04-25,155,61,39.4
2020-04-26,155,59,38.1
2020-04-27,170,59,34.7
2020-04-28,170,60,35.3
2020-04-29,170,62,36.5
2020-04-30,170,64,37.7
2020-05-01,188,61,32.5
2020-05-02,188,60,31.9
2020-05-03,188,60,31.9
2020-05-04,188,62,33.0
2020-05-05,188,61,32.5
2020-05-06,188,61,32.5
2020-05-07,188,59,31.4
2020-05-08,188,58,30.9
2020-05-09,188,56,29.8
2020-05-10,188,50,26.6
2020-05-11,188,50,26.6
2020-05-12,188,50,26.6
2020-05-13,188,45,23.9
2020-05-14,188,43,22.9
2020-05-15,188,41,21.8
2020-05-16,188,39,20.7
2020-05-17,188,39,20.7
2020-05-18,188,36,19.2
2020-05-19,188,37,19.7
2020-05-20,188,35,18.6
2020-05-21,188,30,16.0
2020-05-22,188,29,15.4
2020-05-23,188,24,12.8
2020-05-24,188,24,12.8
2020-05-25,188,25,13.3
2020-05-26,188,23,12.2
2020-05-27,188,21,11.2
2020-05-28,188,19,10.1
2020-05-29,188,18,9.6
2020-05-30,188,17,9.0
2020-05-31,188,16,8.5
2020-06-01,188,16,8.5
2020-06-02,188,15,8.0
2020-06-03,188,15,8.0
2020-06-04,188,15,8.0
2020-06-05,188,15,8.0
2020-06-06,188,15,8.0
2020-06-07,188,15,8.0
2020-06-08,188,15,8.0
2020-06-09,188,14,7.5
2020-06-10,188,10,5.3
2020-06-11,188,10,5.3
2020-06-12,188,9,4.8
2020-06-13,188,9,4.8
2020-06-14,188,9,4.8
2020-06-15,188,8,4.3
2020-06-16,188,7,3.7
2020-06-17,188,7,3.7
2020-06-18,188,6,3.2
2020-06-19,188,5,2.7
2020-06-20,188,5,2.7
2020-06-21,188,5,2.7
2020-06-22,188,5,2.7
2020-06-23,188,5,2.7
2020-06-24,188,4,2.1
2020-06-25,188,4,2.1
2020-06-26,188,3,1.6
2020-06-27,188,3,1.6
2020-06-28,188,3,1.6
2020-06-29,188,3,1.6
2020-06-30,188,3,1.6
2020-07-01,188,3,1.6
2020-07-02,188,2,1.1
2020-07-03,188,3,1.6
2020-07-04,188,3,1.6
2020-07-05,188,3,1.6
2020-07-06,188,3,1.6
2020-07-07,188,3,1.6
2020-07-08,188,3,1.6
2020-07-09,188,3,1.6
2020-07-10,188,3,1.6
2020-07-11,188,3,1.6
2020-07-12,188,5,2.7
2020-07-13,188,5,2.7
2020-07-14,188,5,2.7
2020-07-15,188,6,3.2
2020-07-16,188,5,2.7
2020-07-17,188,4,2.1
2020-07-18,188,4,2.1
2020-07-19,188,5,2.7
2020-07-20,188,5,2.7
2020-07-21,188,8,4.3
2020-07-22,188,10,5.3
2020-07-23,188,13,6.9
2020-07-24,188,12,6.4
2020-07-25,188,11,5.9
2020-07-26,188,11,5.9
2020-07-27,188,11,5.9
2020-07-28,188,13,6.9
2020-07-29,188,16,8.5
2020-07-30,188,18,9.6
2020-07-31,188,19,10.1
2020-08-01,188,20,10.6
2020-08-02,188,23,12.2
2020-08-03,188,27,14.4
2020-08-04,188,26,13.8
2020-08-05,188,30,16.0
2020-08-06,188,35,18.6
2020-08-07,188,36,19.2
2020-08-08,188,40,21.3
2020-08-09,188,38,20.2
2020-08-10,188,41,21.8
2020-08-11,188,49,26.1
2020-08-12,188,55,29.3
2020-08-13,188,53,28.2
2020-08-14,188,64,34.0
2020-08-15,188,70,37.2
2020-08-16,188,72,38.3
2020-08-17,188,70,37.2
2020-08-18,188,65,34.6
2020-08-19,188,60,31.9
2020-08-20,188,63,33.5
2020-08-21,188,62,33.0
2020-08-22,188,66,35.1
2020-08-23,188,68,36.2
2020-08-24,188,67,35.6
2020-08-25,188,72,38.3
2020-08-26,188,68,36.2
2020-08-27,188,58,30.9
2020-08-28,188,58,30.9
2020-08-29,188,58,30.9
2020-08-30,188,61,32.5
2020-08-31,188,60,31.9
2020-09-01,188,61,32.5
2020-09-02,188,53,28.2
2020-09-03,188,51,27.1
2020-09-04,188,49,26.1
2020-09-05,188,47,25.0
2020-09-06,188,47,25.0
2020-09-07,188,46,24.5
2020-09-08,188,44,23.4
2020-09-09,188,42,22.3
2020-09-10,188,40,21.3
2020-09-11,188,35,18.6
2020-09-12,188,34,18.1
2020-09-13,188,36,19.2
2020-09-14,188,36,19.2
2020-09-15,188,35,18.6
2020-09-16,188,28,14.9
2020-09-17,188,31,16.5
2020-09-18,188,30,16.0
2020-09-19,188,29,15.4
2020-09-20,188,29,15.4
2020-09-21,188,29,15.4
2020-09-22,188,29,15.4
2020-09-23,188,28,14.9
2020-09-24,188,30,16.0
2020-09-25,188,29,15.4
2020-09-26,188,30,16.0
2020-09-27,188,30,16.0
2020-09-28,188,30,16.0
2020-09-29,188,27,14.4
2020-09-30,188,27,14.4
2020-10-01,188,24,12.8
2020-10-02,188,24,12.8
2020-10-03,188,22,11.7
2020-10-04,188,22,11.7
2020-10-05,188,23,12.2
2020-10-06,188,21,11.2
2020-10-07,188,22,11.7
2020-10-08,188,23,12.2
2020-10-09,188,23,12.2
2020-10-10,188,23,12.2
2020-10-11,188,24,12.8
2020-10-12,188,22,11.7
2020-10-13,188,21,11.2
2020-10-14,188,21,11.2
2020-10-15,206,21,10.2
2020-10-16,206,19,9.2
2020-10-17,206,19,9.2
2020-10-18,206,20,9.7
2020-10-19,206,16,7.8
2020-10-20,206,19,9.2
2020-10-21,206,19,9.2
2020-10-22,206,22,10.7
2020-10-23,206,22,10.7
2020-10-24,206,23,11.2
2020-10-25,206,23,11.2
2020-10-26,206,26,12.6
2020-10-27,206,26,12.6
2020-10-28,206,25,12.1
2020-10-29,206,25,12.1
2020-10-30,206,26,12.6
2020-10-31,206,25,12.1
2020-11-01,206,26,12.6
2020-11-02,206,31,15.1
2020-11-03,206,32,15.5
2020-11-04,206,37,18.0
2020-11-05,206,40,19.4
2020-11-06,206,42,20.4
2020-11-07,206,43,20.9
2020-11-08,206,46,22.3
2020-11-09,206,51,24.8
2020-11-10,206,58,28.2
2020-11-11,206,63,30.6
2020-11-12,206,60,29.1
2020-11-13,206,58,28.2
2020-11-14,206,62,30.1
2020-11-15,206,66,32.0
2020-11-16,206,72,35.0
2020-11-17,206,69,33.5
2020-11-18,206,72,35.0
2020-11-19,206,76,36.9
2020-11-20,206,81,39.3
2020-11-21,206,87,42.2
2020-11-22,206,91,44.2
2020-11-23,206,98,47.6
2020-11-24,206,103,50.0
2020-11-25,206,107,51.9
2020-11-26,206,108,52.4
2020-11-27,206,107,51.9
2020-11-28,206,107,51.9
2020-11-29,206,110,53.4
2020-11-30,206,124,60.2
2020-12-01,206,125,60.7
2020-12-02,206,131,63.6
2020-12-03,206,136,66.0
2020-12-04,206,139,67.5
2020-12-05,206,132,64.1
2020-12-06,206,141,68.5
2020-12-07,206,141,68.5
2020-12-08,206,146,70.9
2020-12-09,206,147,71.4
2020-12-10,206,150,72.8
2020-12-11,206,155,75.2
2020-12-12,206,152,73.8
2020-12-13,206,158,76.7
2020-12-14,206,156,75.7
2020-12-15,236,158,67.0
2020-12-16,236,157,66.5
2020-12-17,236,157,66.5
2020-12-18,236,156,66.1
2020-12-19,236,158,67.0
2020-12-20,236,158,67.0
2020-12-21,236,165,69.9
2020-12-22,236,160,67.8
2020-12-23,236,162,68.6
2020-12-24,236,161,68.2
2020-12-25,236,162,68.6
2020-12-26,236,161,68.2
2020-12-27,236,161,68.2
2020-12-28,236,158,67.0
2020-12-29,236,150,63.6
2020-12-30,236,159,67.4
2020-12-31,236,164,69.5
2021-01-01,236,165,69.9
2021-01-02,236,165,69.9
2021-01-03,236,169,71.6
2021-01-04,236,171,72.5
2021-01-05,236,161,68.2
2021-01-06,236,166,70.3
2021-01-07,236,168,71.2
2021-01-08,236,168,71.2
2021-01-09,236,168,71.2
2021-01-10,236,171,72.5
2021-01-11,236,169,71.6
2021-01-12,236,171,72.5
2021-01-13,236,172,72.9
2021-01-14,236,175,74.2
2021-01-15,236,187,79.2
2021-01-16,236,185,78.4
2021-01-17,236,186,78.8
2021-01-18,236,187,79.2
2021-01-19,236,179,75.9
2021-01-20,236,185,78.4
2021-01-21,236,174,73.7
2021-01-22,236,170,72.0
2021-01-23,236,174,73.7
2021-01-24,236,175,74.2
2021-01-25,236,179,75.9
2021-01-26,236,184,78.0
2021-01-27,236,182,77.1
2021-01-28,236,181,76.7
2021-01-29,236,174,73.7
2021-01-30,236,179,75.9
2021-01-31,236,185,78.4
2021-02-01,236,179,75.9
2021-02-02,236,172,72.9
2021-02-03,236,166,70.3
2021-02-04,236,166,70.3
2021-02-05,236,155,65.7
2021-02-06,236,147,62.3
2021-02-07,236,149,63.1
2021-02-08,236,153,64.8
2021-02-09,236,146,61.9
2021-02-10,236,143,60.6
2021-02-11,236,141,59.8
2021-02-12,236,144,61.0
2021-02-13,236,137,58.1
2021-02-14,236,140,59.3
2021-02-15,221,142,64.3
